普鴻,	6590
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/12/24,1195534,38.00,38.00,30.00,32.25,+13.10,887,40570485
107/12/25,685002,30.00,30.00,27.65,29.25,-3.00,547,19594509
107/12/26,476442,29.20,29.45,25.85,25.85,-3.40,423,13282000
107/12/27,289189,26.90,27.60,26.20,26.40,+0.55,251,7731096
107/12/28,190000,26.05,27.15,26.05,26.35,-0.05,165,5021350
108/01/02,276751,26.90,26.90,24.40,24.55,-1.80,219,6995274
108/01/03,128001,24.55,25.30,24.50,24.55,0.00,100,3162424
108/01/04,146500,24.50,24.65,23.60,23.85,-0.70,111,3506350
108/01/07,115999,24.30,24.45,23.90,24.15,+0.30,70,2791175
108/01/08,98000,24.30,24.30,23.70,23.95,-0.20,60,2349200
108/01/09,254000,24.20,26.30,24.20,26.30,+2.35,202,6569300
108/01/10,565301,26.50,28.30,26.50,27.85,+1.55,350,15411407
108/01/11,232281,27.60,27.90,26.60,27.00,-0.85,161,6288778
108/01/14,146000,26.40,27.00,25.80,25.85,-1.15,108,3819800
108/01/15,113000,25.85,25.90,25.15,25.85,0.00,92,2884550
108/01/16,66000,25.60,25.80,25.40,25.40,-0.45,61,1685150
108/01/17,100000,25.40,26.45,25.25,25.70,+0.30,99,2578900
108/01/18,54000,25.80,26.00,25.30,25.60,-0.10,51,1386200
108/01/21,64151,25.60,26.00,25.40,25.50,-0.10,54,1644150
108/01/22,44000,25.80,25.80,25.35,25.35,-0.15,37,1127400
108/01/23,80001,25.70,25.75,25.35,25.50,+0.15,57,2045075
108/01/28,44050,26.30,26.40,25.80,26.05,-0.25,38,1142790
108/01/29,55000,26.00,26.05,25.65,25.70,-0.35,38,1425250
108/01/30,31000,26.00,26.00,25.80,25.80,+0.10,26,803300
108/02/11,12004,26.35,26.35,25.10,25.75,-0.05,14,307204
108/02/12,28000,25.80,26.00,25.50,26.00,+0.25,18,720050
108/02/13,61106,25.80,25.80,25.20,25.45,-0.55,50,1552053
108/02/14,29000,25.90,25.90,25.40,25.70,+0.25,21,740400
108/02/15,25010,26.30,26.40,25.40,25.70,0.00,23,641209
108/02/18,20100,25.45,25.50,25.30,25.45,-0.25,19,510890
108/02/19,40000,25.40,25.40,25.15,25.25,-0.20,29,1010250
108/02/20,34387,25.00,25.65,25.00,25.50,+0.25,27,872565
108/02/21,102000,25.60,26.35,24.60,25.25,-0.25,79,2567300
108/02/22,57000,25.15,25.15,24.80,24.90,-0.35,38,1420100
108/02/25,36000,25.30,25.30,25.00,25.15,+0.25,26,904800
108/02/26,136017,25.45,26.40,25.30,25.90,+0.75,101,3514536
108/02/27,66524,26.00,26.20,25.50,25.65,-0.25,44,1723890
108/03/04,39000,26.25,26.25,25.60,25.85,+0.20,28,1005150
108/03/05,10300,25.45,25.75,25.35,25.65,-0.20,12,262920
108/03/06,34000,25.60,25.75,25.50,25.55,-0.10,27,869000
108/03/07,62000,25.50,25.50,25.10,25.30,-0.25,36,1569050
108/03/08,21000,25.20,25.40,25.10,25.25,-0.05,16,530200
108/03/11,239098,25.40,27.75,25.40,27.75,+2.50,156,6498719
108/03/12,609863,29.75,30.40,28.50,30.40,+2.65,403,18166297
108/03/13,298301,30.50,30.50,29.00,29.30,-1.10,194,8818729
108/03/14,152056,29.30,29.30,28.05,28.30,-1.00,126,4324082
108/03/15,109000,28.35,28.85,28.35,28.50,+0.20,78,3116950
108/03/18,66111,28.20,28.30,28.00,28.10,-0.40,51,1855263
108/03/19,22100,28.10,28.30,28.00,28.30,+0.20,22,620000
108/03/20,90000,28.30,29.25,28.30,29.25,+0.95,74,2583900
108/03/21,212000,29.60,31.75,29.30,30.80,+1.55,159,6464350
108/03/22,126600,30.10,30.15,29.30,29.40,-1.40,95,3759639
108/03/25,77140,28.80,29.20,28.20,28.20,-1.20,49,2206355
108/03/26,109000,28.70,30.15,28.40,29.70,+1.50,86,3183850
108/03/27,69000,29.95,30.15,29.35,29.70,0.00,46,2052550
108/03/28,67100,29.60,30.10,29.60,29.85,+0.15,36,1998085
108/03/29,106000,29.85,30.45,29.70,29.85,0.00,53,3176300
108/04/01,218300,30.60,32.50,30.00,31.90,+2.05,163,6876244
108/04/02,108299,31.35,31.95,30.70,31.00,-0.90,78,3388278
108/04/03,60000,30.75,31.85,30.70,31.75,+0.75,44,1885150
108/04/08,275013,31.75,34.90,31.75,34.90,+3.15,177,9503503
108/04/09,166001,34.90,35.50,34.20,34.30,-0.60,104,5779884
108/04/10,206001,34.00,36.00,33.50,36.00,+1.70,120,7149735
108/04/11,335496,37.10,39.60,37.00,39.60,+3.60,198,13097640
108/04/12,239501,39.80,39.80,37.70,37.95,-1.65,189,9234110
108/04/15,146082,37.50,37.50,34.80,36.00,-1.95,115,5273226
108/04/16,73000,35.90,35.90,35.25,35.65,-0.35,50,2587650
108/04/17,101000,35.65,37.40,35.60,36.05,+0.40,74,3671350
108/04/18,127224,36.15,36.20,32.80,33.70,-2.35,111,4382021
108/04/19,57000,33.55,34.80,33.55,34.05,+0.35,44,1940450
108/04/22,87000,34.00,34.00,32.05,32.50,-1.55,55,2861500
108/04/23,24000,32.90,33.10,32.15,33.00,+0.50,20,789100
108/04/24,17000,33.00,33.50,32.80,32.80,-0.20,16,562650
108/04/25,56000,32.80,32.80,31.60,31.85,-0.95,38,1791000
108/04/26,35000,31.80,31.80,30.75,31.40,-0.45,33,1089950
108/04/29,13000,32.00,32.00,31.40,31.80,+0.40,9,412950
108/04/30,19000,31.50,31.65,31.00,31.65,-0.15,18,591950
108/05/02,63001,31.90,34.00,31.90,33.50,+1.85,50,2080783
108/05/03,40150,33.70,33.70,33.00,33.00,-0.50,36,1328145
108/05/06,9000,33.00,33.00,32.50,32.50,-0.50,8,294100
108/05/07,30000,32.60,32.60,32.10,32.60,+0.10,18,974850
108/05/08,11000,32.60,32.60,31.75,32.15,-0.45,10,354500
108/05/09,40000,32.10,32.20,30.50,30.55,-1.60,34,1254100
108/05/10,35000,30.90,32.80,30.90,31.55,+1.00,30,1109750
108/05/13,48000,31.00,31.00,29.00,29.45,-2.10,39,1430700
108/05/14,20000,29.40,29.85,29.00,29.85,+0.40,18,588550
108/05/15,38000,30.45,30.70,29.60,29.75,-0.10,31,1137700
108/05/16,11000,29.75,30.05,29.55,29.70,-0.05,10,327400
108/05/17,11000,30.40,30.40,30.00,30.00,+0.30,11,333100
108/05/20,6000,30.00,30.00,30.00,30.00,0.00,5,180000
108/05/21,26000,29.55,30.50,29.55,30.50,+0.50,16,785100
108/05/22,3000,30.25,30.45,30.25,30.45,-0.05,3,91050
108/05/23,9000,30.50,30.50,30.50,30.50,+0.05,7,274500
108/05/24,11000,30.50,30.65,30.50,30.60,+0.10,8,335850
108/05/27,18000,30.60,30.60,30.30,30.30,-0.30,12,548250
108/05/28,1000,30.35,30.35,30.35,30.35,+0.05,1,30350
108/05/29,10000,30.30,30.30,30.15,30.15,-0.20,10,302550
108/05/30,3000,30.15,30.75,30.15,30.75,+0.60,3,91200
108/05/31,3000,30.55,30.55,30.25,30.50,-0.25,3,91300
108/06/03,2000,32.60,32.60,31.70,31.70,+1.20,2,64300
108/06/04,1000,31.70,31.70,31.70,31.70,0.00,1,31700
108/06/05,3000,31.95,31.95,30.65,30.65,-1.05,3,94500
108/06/06,3000,30.50,30.50,30.30,30.30,-0.35,3,91300
108/06/10,4000,31.30,31.30,30.30,30.50,+0.20,3,122600
108/06/11,9000,30.50,30.60,30.40,30.40,-0.10,9,274350
108/06/12,9000,30.25,30.50,29.85,30.50,+0.10,7,270950
108/06/13,5000,30.50,30.50,30.35,30.35,-0.15,5,152100
108/06/14,2000,31.65,31.65,31.10,31.10,+0.75,2,62750
108/06/17,4000,30.40,30.40,29.85,30.10,-1.00,4,120450
108/06/18,9450,30.30,30.30,30.10,30.30,+0.20,10,285750
108/06/19,4000,30.30,30.40,30.20,30.40,+0.10,4,121300
108/06/20,11000,31.50,31.50,30.50,30.70,+0.30,11,339950
108/06/21,10000,31.00,31.50,31.00,31.40,+0.70,9,311300
108/06/24,5000,31.40,31.40,31.40,31.40,0.00,3,157000
108/06/25,19000,31.65,31.65,31.60,31.60,+0.20,9,601000
108/06/26,0,---,---,---,---,---,0,0
108/06/27,2000,30.85,30.95,30.85,30.95,-0.50,2,61800
108/06/28,10000,31.40,31.60,31.40,31.50,+0.55,8,314500
108/07/01,13000,31.30,32.00,31.10,32.00,+0.50,11,406700
108/07/02,28000,31.95,31.95,31.55,31.55,-0.45,18,888950
108/07/03,6000,31.55,31.55,30.85,31.55,0.00,6,186900
108/07/04,0,---,---,---,---,---,0,0
108/07/05,1000,31.80,31.80,31.80,31.80,+0.25,1,31800
108/07/08,5000,30.50,30.50,30.30,30.50,,5,151950
108/07/09,2000,30.50,30.50,30.50,30.50,0.00,1,61000
108/07/10,2000,30.50,31.20,30.50,31.20,+0.70,2,61700
108/07/11,42000,31.25,33.00,31.25,32.45,+1.25,36,1353300
108/07/12,12000,32.50,32.85,32.45,32.60,+0.15,12,390800
108/07/15,29000,35.00,35.00,32.65,32.80,+0.20,19,973750
108/07/16,1000,32.80,32.80,32.80,32.80,0.00,1,32800
108/07/17,4000,33.00,33.00,32.80,32.90,+0.10,4,131650
108/07/18,3000,32.90,32.90,32.50,32.50,-0.40,3,97900
108/07/19,0,---,---,---,---,---,0,0
108/07/22,41000,32.50,32.50,31.75,31.75,-0.75,18,1305350
108/07/23,1000,31.75,31.75,31.75,31.75,0.00,1,31750
108/07/24,6000,31.50,31.50,31.25,31.25,-0.50,5,188050
108/07/25,19000,31.25,31.50,31.00,31.10,-0.15,12,591650
108/07/26,7000,31.15,31.25,31.15,31.20,+0.10,5,218300
108/07/29,4000,31.50,32.00,31.50,31.60,+0.40,3,126600
108/07/30,29250,32.00,34.00,32.00,33.90,+2.30,29,966449
108/07/31,75150,34.80,36.80,34.50,36.10,+2.20,65,2668165
108/08/01,38149,36.00,36.10,35.55,36.00,-0.10,24,1371919
108/08/02,21027,36.00,36.00,34.90,35.05,-0.95,17,737289
108/08/05,18000,35.00,35.10,34.60,35.05,0.00,16,629200
108/08/06,6000,34.85,34.85,34.85,34.85,-0.20,5,209100
108/08/07,28000,34.00,34.60,33.50,33.50,-1.35,22,947350
108/08/08,0,---,---,---,---,---,0,0
108/08/12,5000,33.65,33.65,33.20,33.20,-0.30,4,167200
108/08/13,50,---,---,---,---,---,1,1660
108/08/14,6000,33.50,33.50,33.20,33.20,+0.25,5,200100
108/08/15,3000,32.05,32.05,32.00,32.00,-1.20,2,96050
108/08/16,0,---,---,---,---,---,0,0
108/08/19,100,---,---,---,---,---,1,3200
108/08/20,12000,32.10,33.45,32.10,32.15,+0.15,8,386600
108/08/21,7105,32.10,32.80,32.10,32.80,+0.65,4,228967
108/08/22,10100,32.20,32.20,32.00,32.00,-0.80,8,323800
108/08/23,8000,32.15,32.15,32.15,32.15,+0.15,6,257200
108/08/26,7000,31.25,31.50,31.25,31.30,-0.85,5,219550
108/08/27,6000,31.30,31.30,31.05,31.05,-0.25,6,186800
108/08/28,16059,31.05,31.70,31.05,31.60,+0.55,10,505764
108/08/29,6000,31.60,31.70,31.60,31.70,+0.10,4,190000
108/08/30,1000,31.00,31.00,31.00,31.00,-0.70,1,31000
108/09/02,9000,31.00,31.50,31.00,31.50,+0.50,5,282500
108/09/03,12000,31.60,31.60,30.50,30.50,-1.00,10,376350
108/09/04,4000,30.50,30.50,30.50,30.50,0.00,3,122000
108/09/05,24000,30.80,31.00,30.70,30.80,+0.30,14,742700
108/09/06,11000,31.00,31.00,30.80,30.80,0.00,9,339000
108/09/09,0,---,---,---,---,---,0,0
108/09/10,4000,30.90,30.90,30.90,30.90,0.00,2,123600
108/09/11,6000,30.70,30.70,30.70,30.70,-0.20,6,184200
108/09/12,0,---,---,---,---,---,0,0
108/09/16,0,---,---,---,---,---,0,0
108/09/17,8000,31.00,31.00,31.00,31.00,+0.30,4,248000
108/09/18,3400,30.70,30.70,30.60,30.60,-0.40,7,104240
108/09/19,13100,30.70,30.80,30.70,30.80,+0.20,15,403300
108/09/20,29000,30.80,31.00,30.50,30.80,0.00,21,889300
108/09/23,15000,30.10,30.80,29.90,30.80,0.00,13,455650
108/09/24,19000,30.50,30.80,30.50,30.75,-0.05,12,583800
108/09/25,24000,30.50,31.50,30.50,31.50,+0.75,15,744600
108/09/26,9000,30.70,30.70,30.70,30.70,,8,276300
108/09/27,17000,30.50,30.60,30.05,30.15,-0.55,15,515800
108/10/01,3000,30.40,30.40,30.15,30.25,+0.10,3,90800
108/10/02,2000,30.25,30.25,30.20,30.20,-0.05,2,60450
108/10/03,3000,29.50,30.25,29.50,30.25,+0.05,3,90000
108/10/04,3000,30.30,30.30,30.25,30.25,0.00,3,90800
108/10/07,6000,30.25,30.50,30.25,30.25,0.00,4,182250
108/10/08,7000,30.25,30.25,30.00,30.00,-0.25,7,210650
108/10/09,6000,30.00,30.10,30.00,30.10,+0.10,5,180200
108/10/14,12000,30.20,31.00,30.20,30.40,+0.30,10,368400
108/10/15,7000,30.50,31.80,30.50,31.80,+1.40,5,217100
108/10/16,8000,31.75,31.80,31.75,31.80,0.00,7,254300
108/10/17,6000,30.65,30.65,30.60,30.60,-1.20,5,183700
108/10/18,8000,31.30,31.30,30.50,30.50,-0.10,7,247900
108/10/21,4000,30.70,30.70,30.70,30.70,+0.20,3,122800
