嘉基,	6715
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/12/12,1903223,92.00,96.00,92.00,93.20,X,1441,178405204
108/12/13,1106050,93.20,94.20,89.60,90.00,3.20,796,100682150
108/12/16,354000,90.10,92.00,90.00,91.60,1.60,279,32253199
108/12/17,318300,92.10,93.00,90.80,91.50,0.10,285,29274789
108/12/18,285210,91.90,91.90,90.70,91.60,0.10,202,26034692
108/12/19,516753,91.60,94.40,91.60,92.70,1.10,417,48145800
108/12/20,314254,92.10,92.90,90.10,90.60,2.10,244,28684114
108/12/23,146738,91.20,91.20,90.10,90.10,0.50,134,13270993
108/12/24,276425,90.10,90.50,87.90,88.50,1.60,246,24612396
108/12/25,164489,88.00,89.50,88.00,89.50,1.00,114,14614213
108/12/26,132521,89.00,89.50,88.30,88.40,1.10,91,11768655
108/12/27,589204,88.80,94.00,88.30,92.30,3.90,437,54050208
108/12/30,219190,93.70,93.70,90.80,91.80,0.50,182,20154742
108/12/31,190100,91.60,92.20,90.70,90.90,0.90,142,17400370
109/01/02,499428,91.00,95.20,91.00,93.80,2.90,378,46840500
109/01/03,386000,92.90,93.00,90.20,91.00,2.80,314,35391800
109/01/06,211050,90.60,91.00,89.40,89.40,1.60,177,18971600
109/01/07,194400,89.90,89.90,88.00,88.30,1.10,166,17205019
109/01/08,94000,88.30,88.80,88.10,88.20,0.10,76,8310900
109/01/09,2004200,88.10,88.10,87.20,87.80,0.40,153,171859719
109/01/10,454133,89.20,93.00,89.20,92.00,4.20,368,41635568
109/01/13,113157,90.80,92.00,90.70,92.00,,107,10339911
109/01/14,2002127,92.70,101.00,92.50,100.00,8.00,1299,195154222
109/01/15,1798500,98.00,103.00,97.50,101.50,1.50,1148,180968744
109/01/16,1281868,102.00,108.00,100.50,105.00,3.50,897,134615008
109/01/17,1208572,105.50,111.00,103.50,108.50,3.50,812,129522776
109/01/20,761892,108.00,109.00,103.50,107.00,1.50,540,80877444
109/01/30,958700,96.40,99.70,96.30,96.30,10.70,620,93092208
109/01/31,680300,95.00,99.20,93.20,97.00,0.70,498,65555500
109/02/03,409300,93.60,96.70,90.80,95.00,2.00,336,38442029
109/02/04,284350,95.50,97.50,95.50,95.90,0.90,226,27573650
109/02/05,169170,95.50,96.30,94.30,94.60,1.30,147,16096650
109/02/06,347159,94.50,97.80,94.50,96.00,1.40,256,33540778
109/02/07,1885360,98.00,105.50,97.00,103.50,7.50,1246,193282459
109/02/10,1058205,100.50,103.50,100.00,103.00,0.50,800,108125921
109/02/11,1361750,104.00,109.50,103.00,108.00,5.00,1040,145634867
109/02/12,940460,109.00,109.00,105.50,106.00,2.00,688,100420450
109/02/13,825134,104.00,105.50,102.50,103.50,2.50,653,85575503
109/02/14,2552753,104.50,113.50,103.50,113.50,10.00,1754,282918960
109/02/17,1689389,109.00,115.00,107.00,113.50,,1273,188664650
109/02/18,1306712,111.00,114.00,108.00,108.50,5.00,1017,144881540
109/02/19,1601611,109.00,118.00,109.00,116.50,8.00,1252,183225376
109/02/20,1161935,116.00,119.00,113.50,116.50,,899,134684395
109/02/21,749049,116.50,117.00,113.00,114.50,2.00,606,85931154
109/02/24,778665,111.00,112.50,109.50,109.50,5.00,599,86154650
109/02/25,843814,106.00,113.50,106.00,111.00,1.50,658,92960354
109/02/26,501300,109.00,111.50,107.00,108.50,2.50,365,54766350
109/02/27,977612,110.00,110.00,100.00,103.00,5.50,739,101672066
109/03/02,421666,97.40,104.50,97.30,102.00,1.00,354,42666466
109/03/03,606300,104.50,105.00,100.50,103.50,1.50,455,62695900
109/03/04,407950,103.00,103.50,99.70,100.00,3.50,306,40930400
109/03/05,444544,102.50,105.00,101.00,103.00,3.00,333,45922848
109/03/06,242060,101.50,102.50,100.50,101.50,1.50,192,24524680
109/03/09,727903,99.30,101.00,92.00,92.00,9.50,578,69723476
109/03/10,686853,89.50,91.70,88.70,91.50,0.50,487,61769448
109/03/11,459240,92.30,93.60,90.10,90.20,1.30,304,42111148
109/03/12,889157,88.00,88.00,81.20,81.40,8.80,594,73600674
109/03/13,636240,73.30,80.90,73.30,80.90,0.50,436,47203116
109/03/16,362000,79.00,79.90,73.00,73.10,7.80,263,28071400
109/03/17,400000,67.50,73.60,67.00,71.00,2.10,285,28485200
109/03/18,313103,72.10,73.00,67.20,69.90,1.10,241,22086210
109/03/19,392261,67.00,67.10,63.00,63.00,6.90,292,24916743
109/03/20,316824,65.00,69.30,65.00,69.30,6.30,250,21757503
109/03/23,241010,65.50,69.00,63.90,67.00,2.30,178,16108749
109/03/24,184000,69.10,72.90,68.40,71.90,4.90,155,13093300
109/03/25,254050,74.50,77.80,73.20,73.80,1.90,213,19205795
109/03/26,165040,73.80,75.60,70.70,73.50,0.30,151,11976188
109/03/27,198220,75.00,75.50,71.80,73.80,0.30,158,14686076
109/03/30,329015,70.60,74.50,70.00,74.50,0.70,259,23518000
109/03/31,254000,74.90,76.00,73.70,75.00,0.50,175,19026600
109/04/01,140210,73.50,75.20,73.50,75.00,,107,10455250
109/04/06,458800,76.30,82.50,75.40,82.50,7.50,339,36698400
109/04/07,537813,85.00,87.70,83.50,86.20,3.70,418,45910618
109/04/08,253150,85.50,87.90,84.40,87.90,1.70,207,21835330
109/04/09,253050,87.80,89.70,86.50,87.80,0.10,178,22159105
109/04/10,150050,87.80,87.80,86.00,87.60,0.20,108,13032205
109/04/13,200160,86.00,87.80,85.50,85.90,1.70,126,17280720
109/04/14,272000,85.90,90.60,85.90,90.00,4.10,213,24290500
109/04/15,196421,91.00,91.00,88.90,90.10,0.10,169,17623473
109/04/16,99265,89.00,90.20,88.20,89.50,0.60,94,8869379
109/04/17,256139,91.00,92.60,88.50,89.00,0.50,218,23199581
109/04/20,78000,89.90,89.90,87.50,88.60,0.40,57,6882100
109/04/21,170135,88.20,88.60,85.50,85.50,3.10,133,14730850
109/04/22,74214,84.70,87.60,82.70,87.50,2.00,66,6320538
109/04/23,70000,88.90,88.90,87.50,88.50,1.00,63,6163700
109/04/24,57050,88.50,88.50,87.50,87.80,0.70,44,5016700
109/04/27,183300,89.70,91.60,89.70,90.50,2.70,164,16623500
109/04/28,128010,91.00,91.50,90.40,91.00,0.50,94,11644650
109/04/29,171047,92.30,93.40,90.70,93.20,2.20,145,15788306
109/04/30,165438,93.40,95.90,93.30,94.70,1.50,141,15646772
109/05/04,95329,92.00,94.70,92.00,94.50,0.20,85,8950888
109/05/05,118200,94.50,95.60,93.90,94.20,0.30,96,11188560
109/05/06,184119,94.50,96.00,94.50,95.00,0.80,132,17496712
109/05/07,343350,96.00,103.00,95.50,100.00,5.00,300,34398550
109/05/08,303111,100.00,102.50,99.50,99.90,0.10,245,30452586
109/05/11,197345,101.00,103.00,99.00,100.50,0.60,131,19914900
